11101,88,0
11122,63,0
11123,59,0
11123,8,0
11124,20,0
11124,41,0
11124,66,0
11125,120,0
11125,19,0
11125,218,0
11125,22,0
11125,29,0
11125,57,0
11126,32,0
11127,12,0
11127,28,0
11127,37,0
11127,42,0
11127,45,0
11127,46,0
11127,60,0
11127,68,0
11128,51,0
11128,73,0
11128,87,0
11129,105,0
11130,64,0
11151,23,0
11152,56,0
11153,12,0
11153,203,0
11153,92,0
11154,28,0
11154,32,0
11154,46,0
11155,21,0
11155,53,0
11155,62,0
11156,13,0
11182,32,0
11235,40,0
1196,56,0
1199,70,0
100,166000,1
101,11000,1
120,85000,1
124,102000,1
124,102000,1
124,111000,1
124,29000,1
124,32000,1
125,145000,1
125,149000,1
125,26000,1
125,29000,1
125,42000,1
126,134000,1
126,15000,1
126,94000,1
126,94000,1
127,155000,1
127,20000,1
127,63000,1
127,73000,1
128,117000,1
128,166000,1
128,255000,1
128,53000,1
128,58000,1
128,62000,1
129,101000,1
129,159000,1
129,17000,1
129,232000,1
129,28000,1
129,39000,1
130,116000,1
130,131000,1
130,166000,1
130,218000,1
130,218000,1
130,226000,1
130,24000,1
130,7000,1
130,79000,1
131,159000,1
151,68000,1
152,1000,1
153,5000,1
155,114000,1
155,178000,1
156,202000,1
156,60000,1
156,73000,1
157,42000,1
157,85000,1
159,121000,1
159,124000,1
159,31000,1
98,64000,1
